fishery,age,sel
33,15,0.1617
33,16,0.162
34,1,0.1558
34,2,1
34,3,0.9503
34,4,0.6494
34,5,0.3639
34,6,0.2671
34,7,0.2289
34,8,0.2119
34,9,0.205
34,10,0.2013
34,11,0.2005
34,12,0.2008
34,13,0.201
34,14,0.2013
34,15,0.2013
34,16,0.2021
35,1,0.1456
35,2,0.7805
35,3,1
35,4,0.8807
35,5,0.6752
35,6,0.5499
35,7,0.4801
35,8,0.4398
35,9,0.4173
35,10,0.4018
35,11,0.3928
35,12,0.387
35,13,0.3827
35,14,0.3797
35,15,0.3771
35,16,0.3758
36,1,0.0779
36,2,0.4162
36,3,0.9913
36,4,1
36,5,0.8974
36,6,0.7598
36,7,0.6598
36,8,0.5934
36,9,0.5516
36,10,0.5219
36,11,0.5029
36,12,0.4898
36,13,0.4801
36,14,0.4732
36,15,0.4677
36,16,0.4643
37,1,0.8626
37,2,1
37,3,0.1862
37,4,0.1499
37,5,0.1129
37,6,0.0966
37,7,0.086
37,8,0.0786
37,9,0.0736
37,10,0.07
37,11,0.0675
37,12,0.0658
37,13,0.0646
37,14,0.0637
37,15,0.063
37,16,0.0624
38,1,0.1158
38,2,0.2974
38,3,0.9615
38,4,1
38,5,0.894
38,6,0.7435
38,7,0.65
38,8,0.5987
38,9,0.574
38,10,0.5595
38,11,0.5536
38,12,0.5514
38,13,0.5498
38,14,0.5491
38,15,0.5485
38,16,0.5497
39,1,0.0033
39,2,0.1149
39,3,1
39,4,0.8878
39,5,0.4676
39,6,0.2165
39,7,0.1161
39,8,0.0735
39,9,0.0533
39,10,0.0423
39,11,0.036
39,12,0.032
39,13,0.0294
39,14,0.0277
39,15,0.0264
39,16,0.0256
40,1,0.0389
40,2,0.3821
40,3,1
40,4,0.7789
40,5,0.4453
40,6,0.2886
40,7,0.2198
40,8,0.1867
40,9,0.17
40,10,0.16
40,11,0.1546
40,12,0.1514
40,13,0.1492
40,14,0.1477
40,15,0.1465
40,16,0.146
41,1,0.0115
41,2,0.1273
41,3,1
41,4,0.9978
41,5,0.7101
41,6,0.4451
41,7,0.3059
41,8,0.2337
41,9,0.1943
41,10,0.1703
41,11,0.1556
41,12,0.146
41,13,0.1394
41,14,0.1348
41,15,0.1313
41,16,0.129
42,1,0.0288
42,2,0.1628
42,3,0.7492
42,4,0.9089
42,5,1
42,6,0.8585
42,7,0.7002
42,8,0.5818
42,9,0.5021
42,10,0.4472
42,11,0.4106
42,12,0.3853
42,13,0.3674
42,14,0.3547
42,15,0.3451
42,16,0.3384
