year,season,area,ssb
1975,3,7,1227300
1976,3,7,1353800
1977,3,7,1320900
1978,3,7,1351800
1979,3,7,1213200
1980,3,7,1219600
1981,3,7,997410
1982,3,7,1026800
1983,3,7,1140700
1984,3,7,1250600
1985,3,7,1092500
1986,3,7,1166800
1987,3,7,977190
1988,3,7,1239200
1989,3,7,975940
1990,3,7,561250
1991,3,7,473060
1992,3,7,490770
1993,3,7,490840
1994,3,7,709290
1995,3,7,674370
1996,3,7,596590
1997,3,7,652710
1998,3,7,591150
1999,3,7,700060
2000,3,7,627610
2001,3,7,613570
2002,3,7,597560
2003,3,7,584940
2004,3,7,534200
2005,3,7,572940
2006,3,7,649360
2007,3,7,861270
2008,3,7,752790
2009,3,7,481050
2010,3,7,728100
2011,3,7,696100
2012,3,7,630360
2013,3,7,608560
2014,3,7,931280
2015,3,7,1038600
2016,3,7,906330
2017,3,7,723080
2018,3,7,780650
2019,3,7,1013600
2020,3,7,731910
2021,3,7,649330
2022,3,7,792520
2023,3,7,998500
2024,3,7,966160
1972,4,7,1415000
1973,4,7,1412300
1974,4,7,1395000
1975,4,7,1089500
1976,4,7,1282000
1977,4,7,1241500
1978,4,7,1313600
1979,4,7,1180900
1980,4,7,1116600
1981,4,7,924600
1982,4,7,974410
1983,4,7,1059900
1984,4,7,1166900
1985,4,7,1063000
1986,4,7,1116700
1987,4,7,1021000
1988,4,7,1242700
1989,4,7,852400
1990,4,7,504380
1991,4,7,431930
1992,4,7,394130
1993,4,7,543260
1994,4,7,736590
1995,4,7,626360
1996,4,7,656580
1997,4,7,617590
1998,4,7,722250
1999,4,7,615710
2000,4,7,571050
2001,4,7,586220
2002,4,7,572050
2003,4,7,501100
2004,4,7,570960
2005,4,7,531390
2006,4,7,627990
2007,4,7,996770
2008,4,7,667600
2009,4,7,579330
2010,4,7,711740
2011,4,7,659030
2012,4,7,730790
2013,4,7,643760
2014,4,7,998300
2015,4,7,1178400
2016,4,7,993510
2017,4,7,800270
2018,4,7,789370
2019,4,7,1026500
2020,4,7,824210
2021,4,7,629770
2022,4,7,980860
2023,4,7,1194700
2024,4,7,994740
1972,1,8,2179000
1973,1,8,2229500
1974,1,8,2932400
1975,1,8,2497800
1976,1,8,2320700
1977,1,8,2281400
1978,1,8,2183700
1979,1,8,2246700
1980,1,8,2114900
1981,1,8,2005300
1982,1,8,1760000
1983,1,8,1644700
1984,1,8,1748600
1985,1,8,1899000
1986,1,8,1853200
1987,1,8,1979600
1988,1,8,2033000
1989,1,8,1991100
1990,1,8,1590100
1991,1,8,1227600
1992,1,8,1149600
1993,1,8,899490
1994,1,8,891680
1995,1,8,1138000
1996,1,8,1379600
1997,1,8,1302500
1998,1,8,1153200
1999,1,8,1887000
2000,1,8,1474900
2001,1,8,1045600
2002,1,8,830370
2003,1,8,878180
2004,1,8,1081400
2005,1,8,1167800
2006,1,8,1162200
2007,1,8,1320600
2008,1,8,1742100
2009,1,8,1376600
2010,1,8,1342600
2011,1,8,1886800
2012,1,8,1536900
2013,1,8,1719700
2014,1,8,1842200
2015,1,8,1823800
2016,1,8,2209900
2017,1,8,1940600
2018,1,8,1595400
2019,1,8,1884400
2020,1,8,2391500
2021,1,8,1876100
2022,1,8,2334400
2023,1,8,2090000
2024,1,8,1783300
1972,2,8,2085200
1973,2,8,2314000
1974,2,8,2939200
1975,2,8,2510300
1976,2,8,2466300
1977,2,8,2389800
1978,2,8,2291500
1979,2,8,2330400
1980,2,8,2256800
1981,2,8,2025800
1982,2,8,1804200
1983,2,8,1754800
1984,2,8,1907200
1985,2,8,1954300
1986,2,8,1963400
1987,2,8,2073700
1988,2,8,2030800
1989,2,8,1990200
1990,2,8,1513700
1991,2,8,1400800
1992,2,8,1101600
1993,2,8,822070
1994,2,8,961760
1995,2,8,1248700
1996,2,8,1405500
1997,2,8,1311600
1998,2,8,1340100
1999,2,8,1974000
2000,2,8,1355100
2001,2,8,1007000
2002,2,8,833900
2003,2,8,1077100
2004,2,8,1089100
2005,2,8,1224500
2006,2,8,1293200
2007,2,8,1450600
2008,2,8,1790700
2009,2,8,1356000
2010,2,8,1429900
2011,2,8,1965500
2012,2,8,1506100
2013,2,8,1844300
2014,2,8,1910500
2015,2,8,2069900
2016,2,8,2232600
2017,2,8,1916300
2018,2,8,1731400
2019,2,8,2065900
2020,2,8,2292600
2021,2,8,2421800
2022,2,8,2316600
2023,2,8,2152600
2024,2,8,1760400
1972,3,8,1681100
1973,3,8,2012000
1974,3,8,2278600
1975,3,8,1980300
1976,3,8,1982300
1977,3,8,1893000
1978,3,8,1856100
1979,3,8,1838600
1980,3,8,1802100
1981,3,8,1585600
1982,3,8,1430600
1983,3,8,1420100
1984,3,8,1572500
1985,3,8,1534900
1986,3,8,1593500
1987,3,8,1647400
1988,3,8,1637900
1989,3,8,1525400
1990,3,8,1135800
1991,3,8,1141900
1992,3,8,814320
1993,3,8,606240
1994,3,8,802420
1995,3,8,1132900
1996,3,8,1101300
1997,3,8,994500
1998,3,8,1333000
1999,3,8,1541700
2000,3,8,1009500
2001,3,8,718140
2002,3,8,654660
2003,3,8,924900
2004,3,8,905020
2005,3,8,969730
2006,3,8,1126300
2007,3,8,1253200
2008,3,8,1398500
2009,3,8,1120800
2010,3,8,1287400
2011,3,8,1559600
2012,3,8,1300900
2013,3,8,1531300
2014,3,8,1530500
2015,3,8,1812300
2016,3,8,1859900
2017,3,8,1455700
2018,3,8,1538700
2019,3,8,1847800
2020,3,8,1728400
2021,3,8,2014300
2022,3,8,1836500
2023,3,8,1695000
2024,3,8,1448800
1972,4,8,1706300
1973,4,8,2374000
1974,4,8,2119300
1975,4,8,1965300
1976,4,8,1917200
1977,4,8,1816700
1978,4,8,1827900
1979,4,8,1749400
1980,4,8,1724400
1981,4,8,1504600
1982,4,8,1374200
1983,4,8,1403000
1984,4,8,1564100
1985,4,8,1472200
1986,4,8,1548600
1987,4,8,1580400
1988,4,8,1594100
1989,4,8,1398500
1990,4,8,1012200
1991,4,8,1015300
1992,4,8,747590
1993,4,8,560390
1994,4,8,796670
1995,4,8,1126500
1996,4,8,1040300
1997,4,8,861270
1998,4,8,1477400
1999,4,8,1362100
2000,4,8,889910
2001,4,8,611090
2002,4,8,608190
2003,4,8,905150
2004,4,8,919020
2005,4,8,922700
2006,4,8,1064400
2007,4,8,1316200
2008,4,8,1250800
2009,4,8,1074500
2010,4,8,1454900
2011,4,8,1449100
2012,4,8,1415500
2013,4,8,1515500
2014,4,8,1484600
2015,4,8,1871000
2016,4,8,1741900
2017,4,8,1373500
2018,4,8,1608800
2019,4,8,2007400
2020,4,8,1530400
2021,4,8,2036200
2022,4,8,1788600
2023,4,8,1604100
2024,4,8,1479900
