year,season,fishery,area,t
2022,1,9,3,0
2023,1,9,3,0
2024,1,9,3,0
1972,1,10,5,4153
1973,1,10,5,4665.5
1974,1,10,5,5205.5
1975,1,10,5,5594.51
1976,1,10,5,4959.75
1977,1,10,5,8669.51
1978,1,10,5,8786.5
1979,1,10,5,4239
1980,1,10,5,3646.76
1981,1,10,5,4927
1982,1,10,5,5026.75
1983,1,10,5,4074
1984,1,10,5,2971.5
1985,1,10,5,4439
1986,1,10,5,4910.75
1987,1,10,5,5687.75
1988,1,10,5,4314.25
1989,1,10,5,4986.25
1990,1,10,5,6494.25
1991,1,10,5,6261.75
1992,1,10,5,5033.5
1993,1,10,5,3457.26
1994,1,10,5,6092.75
1995,1,10,5,6370.26
1996,1,10,5,6377.26
1997,1,10,5,7513.51
1998,1,10,5,7820.76
1999,1,10,5,7043
2000,1,10,5,7365.51
2001,1,10,5,6885.75
2002,1,10,5,7013.5
2003,1,10,5,8798.76
2004,1,10,5,9133.5
2005,1,10,5,12263.3
2006,1,10,5,13513.5
2007,1,10,5,15597.7
2008,1,10,5,15670.5
2009,1,10,5,6313.5
2010,1,10,5,6874.5
2011,1,10,5,1952.75
2012,1,10,5,3529.25
2013,1,10,5,3494.5
2014,1,10,5,4122
2015,1,10,5,6862.5
2016,1,10,5,3559.5
2017,1,10,5,4664.5
2018,1,10,5,4671.5
2019,1,10,5,4116.5
2020,1,10,5,4119.26
2021,1,10,5,4971.5
2022,1,10,5,4710.01
2023,1,10,5,5402.25
2024,1,10,5,5402.25
1972,1,11,5,4900.01
1973,1,11,5,5575.01
1974,1,11,5,5903.25
1975,1,11,5,5829
1976,1,11,5,6334.5
1977,1,11,5,6594
1978,1,11,5,7355.51
1979,1,11,5,9077.51
1980,1,11,5,2795.25
1981,1,11,5,2884.75
1982,1,11,5,3079.25
1983,1,11,5,4069.25
1984,1,11,5,3435.25
1985,1,11,5,3544.5
1986,1,11,5,2678
1987,1,11,5,3122.75
1988,1,11,5,3648.75
1989,1,11,5,3667.5
1990,1,11,5,7603.75
1991,1,11,5,7776.5
1992,1,11,5,8940.5
1993,1,11,5,8190.5
1994,1,11,5,9084.75
1995,1,11,5,9681
1996,1,11,5,15024.8
1997,1,11,5,11179.5
1998,1,11,5,14760.3
1999,1,11,5,14008.2
2000,1,11,5,14904.8
2001,1,11,5,13715.3
2002,1,11,5,13182.5
2003,1,11,5,13447
2004,1,11,5,17704.8
2005,1,11,5,15420
2006,1,11,5,18509.5
2007,1,11,5,21702
2008,1,11,5,23470.2
2009,1,11,5,22302.5
2010,1,11,5,19960.5
2011,1,11,5,23861.5
2012,1,11,5,27433
2013,1,11,5,25688
2014,1,11,5,30558
2015,1,11,5,35556.2
2016,1,11,5,40118.2
2017,1,11,5,31127.8
2018,1,11,5,30008.8
2019,1,11,5,26064.8
2020,1,11,5,19839.5
2021,1,11,5,20475.3
2022,1,11,5,21208
2023,1,11,5,21426
2024,1,11,5,21426
1972,1,12,5,1800.48
1973,1,12,5,2015.73
1974,1,12,5,2243.96
1975,1,12,5,2387.72
1976,1,12,5,2379.52
1977,1,12,5,4694.99
1978,1,12,5,3431.98
1979,1,12,5,6391.74
1980,1,12,5,3904.97
1981,1,12,5,4479.49
1982,1,12,5,7002.55
1983,1,12,5,9373.98
1984,1,12,5,7721.25
1985,1,12,5,9868.53
1986,1,12,5,12960.7
1987,1,12,5,11750.8
1988,1,12,5,8950.47
1989,1,12,5,10216.2
1990,1,12,5,16234.8
1991,1,12,5,17462.3
1992,1,12,5,14262.5
1993,1,12,5,12219
1994,1,12,5,14229.7
1995,1,12,5,16876
1996,1,12,5,16832.3
1997,1,12,5,14794.7
1998,1,12,5,18649.5
1999,1,12,5,19841
2000,1,12,5,17744.8
2001,1,12,5,16827
2002,1,12,5,20791.8
2003,1,12,5,24800.7
2004,1,12,5,25100.5
2005,1,12,5,24137.3
2006,1,12,5,26612
2007,1,12,5,32308.5
2008,1,12,5,37573.5
2009,1,12,5,35660.2
2010,1,12,5,25197.8
2011,1,12,5,14956
2012,1,12,5,15579.2
2013,1,12,5,19736.7
2014,1,12,5,23508.9
2015,1,12,5,19590.8
2016,1,12,5,16319.3
2017,1,12,5,17770.7
2018,1,12,5,13672.8
2019,1,12,5,17980.6
2020,1,12,5,16800
2021,1,12,5,13401.4
2022,1,12,5,11770.3
2023,1,12,5,11933.5
2024,1,12,5,8352.82
1972,1,13,5,0
1973,1,13,5,0
1974,1,13,5,0
1975,1,13,5,0
1976,1,13,5,0
1977,1,13,5,0
1978,1,13,5,0
1979,1,13,5,0
1980,1,13,5,2136.77
1981,1,13,5,2403.22
1982,1,13,5,2612.54
1983,1,13,5,2922.78
1984,1,13,5,3182.96
1985,1,13,5,3488.46
1986,1,13,5,3606.94
1987,1,13,5,4098.25
1988,1,13,5,4872.07
1989,1,13,5,5276.79
1990,1,13,5,6052.48
1991,1,13,5,6190.43
1992,1,13,5,7117.24
1993,1,13,5,6520.05
1994,1,13,5,7231.98
1995,1,13,5,7706.75
1996,1,13,5,11960.4
1997,1,13,5,8899.2
1998,1,13,5,11750
1999,1,13,5,11151.4
2000,1,13,5,11865.4
2001,1,13,5,10918
2002,1,13,5,10493.7
2003,1,13,5,10704.2
2004,1,13,5,14094
2005,1,13,5,8808.25
2006,1,13,5,10535.3
2007,1,13,5,9433.08
2008,1,13,5,9331.56
2009,1,13,5,14215.5
2010,1,13,5,14774.4
2011,1,13,5,12784.8
2012,1,13,5,17264.5
2013,1,13,5,42349.5
2014,1,13,5,30215
2015,1,13,5,10564
2016,1,13,5,22614.5
2017,1,13,5,29457.9
2018,1,13,5,16916.2
2019,1,13,5,28173.2
2020,1,13,5,14305.7
2021,1,13,5,22632.3
2022,1,13,5,21907.8
2023,1,13,5,21556.4
2024,1,13,5,21556.4
1972,1,14,5,2385.6
1973,1,14,5,7344.1
1974,1,14,5,9616.4
1975,1,14,5,812.5
1976,1,14,5,600.7
1977,1,14,5,882.2
1978,1,14,5,585.3
1979,1,14,5,1972
1980,1,14,5,5314.48
1981,1,14,5,5908.23
1982,1,14,5,6729.08
1983,1,14,5,8030.14
1984,1,14,5,7657.75
1985,1,14,5,8549.16
1986,1,14,5,8781.02
1987,1,14,5,9806.51
1988,1,14,5,11857
1989,1,14,5,12541.8
1990,1,14,5,14395.4
1991,1,14,5,14706.5
1992,1,14,5,16913
1993,1,14,5,15489.2
1994,1,14,5,17224.2
1995,1,14,5,18311.9
1996,1,14,5,28413.7
1997,1,14,5,21141.8
1998,1,14,5,27913.5
1999,1,14,5,26491.5
2000,1,14,5,28187.1
2001,1,14,5,25937.3
2002,1,14,5,24967.4
2003,1,14,5,25430
2004,1,14,5,33481.8
2005,1,14,5,19142.6
2006,1,14,5,25282.8
2007,1,14,5,29644.6
2008,1,14,5,31177.5
2009,1,14,5,34058.7
2010,1,14,5,33674.2
2011,1,14,5,30901.7
2012,1,14,5,25218.7
2013,1,14,5,21457
2014,1,14,5,19947.2
2015,1,14,5,19939.2
2016,1,14,5,21381
2017,1,14,5,14953.7
2018,1,14,5,25935.2
2019,1,14,5,20245
2020,1,14,5,27021.5
2021,1,14,5,19600.5
2022,1,14,5,18982
2023,1,14,5,10580.9
2024,1,14,5,9954.28
1972,1,15,5,289.093
1973,1,15,5,53.63
1974,1,15,5,156.36
1975,1,15,5,383.08
1976,1,15,5,717.434
1977,1,15,5,1069.33
1978,1,15,5,1621.16
1979,1,15,5,4334.22
1980,1,15,5,2223.37
1981,1,15,5,480.21
1982,1,15,5,706.227
1983,1,15,5,5953.9
1984,1,15,5,1761.12
1985,1,15,5,3097.76
1986,1,15,5,223.303
1987,1,15,5,1028.61
1988,1,15,5,1091.97
1989,1,15,5,4120.14
1990,1,15,5,1757.79
1991,1,15,5,4561.98
1992,1,15,5,11831.4
1993,1,15,5,133.807
1994,1,15,5,149.666
1995,1,15,5,404.956
1996,1,15,5,438.38
1997,1,15,5,1718.01
1998,1,15,5,747.27
1999,1,15,5,1409.72
2000,1,15,5,342.592
2001,1,15,5,273.981
2002,1,15,5,62.67
2003,1,15,5,1518.77
2004,1,15,5,257.74
2005,1,15,5,342.042
2006,1,15,5,569.775
2007,1,15,5,590.562
2008,1,15,5,729.801
2009,1,15,5,321.539
2010,1,15,5,0
2011,1,15,5,100.005
2012,1,15,5,137.107
2013,1,15,5,0
2014,1,15,5,29.212
2015,1,15,5,0
2016,1,15,5,0
2017,1,15,5,118.36
2018,1,15,5,37.909
2019,1,15,5,170
2020,1,15,5,925.4
2021,1,15,5,56.745
2022,1,15,5,467.076
2023,1,15,5,486.238
2024,1,15,5,711.13
1972,1,16,5,0
1973,1,16,5,11.752
1974,1,16,5,0
1975,1,16,5,6.884
1976,1,16,5,0
1977,1,16,5,27.244
1978,1,16,5,45.846
1979,1,16,5,296.037
1980,1,16,5,1245.43
1981,1,16,5,18.032
1982,1,16,5,727.483
1983,1,16,5,2124.59
1984,1,16,5,472.055
1985,1,16,5,1819.94
1986,1,16,5,39.916
1987,1,16,5,230.051
1988,1,16,5,27.289
1989,1,16,5,4437.25
1990,1,16,5,1175.57
1991,1,16,5,3959.39
1992,1,16,5,5402.1
1993,1,16,5,105.056
1994,1,16,5,271.502
1995,1,16,5,465.142
1996,1,16,5,286.096
1997,1,16,5,3357.81
1998,1,16,5,9.718
1999,1,16,5,6509.72
2000,1,16,5,629.241
2001,1,16,5,2.715
2002,1,16,5,0
2003,1,16,5,2902.93
2004,1,16,5,0
2005,1,16,5,834.759
2006,1,16,5,335.788
2007,1,16,5,841.953
2008,1,16,5,1365.37
2009,1,16,5,933.878
2010,1,16,5,31.243
2011,1,16,5,196.325
2012,1,16,5,29.046
2013,1,16,5,164.898
2014,1,16,5,1.939
2015,1,16,5,40
2016,1,16,5,4.936
2017,1,16,5,1376.88
2018,1,16,5,71.087
2019,1,16,5,414.063
2020,1,16,5,9.767
2021,1,16,5,0
2022,1,16,5,0
2023,1,16,5,0
2024,1,16,5,403.934
1972,1,17,5,0
1973,1,17,5,0
1974,1,17,5,0
1975,1,17,5,0
1976,1,17,5,0
1977,1,17,5,0
1978,1,17,5,0
1979,1,17,5,0
1980,1,17,5,0
1981,1,17,5,0
1982,1,17,5,0
1983,1,17,5,0
1984,1,17,5,0
1985,1,17,5,0
1986,1,17,5,0
1987,1,17,5,0
1988,1,17,5,0
1989,1,17,5,0
1990,1,17,5,0
1991,1,17,5,0
1992,1,17,5,0
1993,1,17,5,0
1994,1,17,5,0
1995,1,17,5,0
1996,1,17,5,0
1997,1,17,5,0
1998,1,17,5,0
1999,1,17,5,0
2000,1,17,5,1671.46
2001,1,17,5,1759.22
2002,1,17,5,1872.73
2003,1,17,5,1861.6
2004,1,17,5,2510.65
2005,1,17,5,2568.39
2006,1,17,5,2576.37
2007,1,17,5,2656.64
2008,1,17,5,2445.52
2009,1,17,5,2272.32
2010,1,17,5,2100.8
2011,1,17,5,2469.95
2012,1,17,5,3794.43
2013,1,17,5,5121.74
2014,1,17,5,5358.55
2015,1,17,5,5418.36
2016,1,17,5,8377.9
2017,1,17,5,12177.6
2018,1,17,5,7649.74
2019,1,17,5,7284.26
2020,1,17,5,5965.38
2021,1,17,5,5450.36
2022,1,17,5,3037.43
2023,1,17,5,6456.06
2024,1,17,5,6456.06
1972,1,18,5,0
1973,1,18,5,0
1974,1,18,5,0
1975,1,18,5,0
1976,1,18,5,0
1977,1,18,5,0
1978,1,18,5,0
1979,1,18,5,0
1980,1,18,5,0
1981,1,18,5,0
1982,1,18,5,0
1983,1,18,5,0
1984,1,18,5,0
1985,1,18,5,0
1986,1,18,5,0
1987,1,18,5,0
1988,1,18,5,0
1989,1,18,5,0
1990,1,18,5,0
1991,1,18,5,0
1992,1,18,5,0
1993,1,18,5,0
1994,1,18,5,0
1995,1,18,5,0
1996,1,18,5,0
1997,1,18,5,0
1998,1,18,5,0
1999,1,18,5,0
2000,1,18,5,0
2001,1,18,5,0
2002,1,18,5,0
2003,1,18,5,0
2004,1,18,5,0
2005,1,18,5,0
2006,1,18,5,0
2007,1,18,5,0
2008,1,18,5,0
2009,1,18,5,0
2010,1,18,5,0
2011,1,18,5,0
2012,1,18,5,0
2013,1,18,5,0
2014,1,18,5,0
2015,1,18,5,0
2016,1,18,5,0
2017,1,18,5,0
2018,1,18,5,0
2019,1,18,5,0
2020,1,18,5,0
2021,1,18,5,0
2022,1,18,5,0
2023,1,18,5,0
2024,1,18,5,0
1972,1,19,6,4681.44
1973,1,19,6,3147.68
1974,1,19,6,32076.3
1975,1,19,6,13580.4
1976,1,19,6,2465.32
1977,1,19,6,3254.72
1978,1,19,6,1657.88
1979,1,19,6,3758.1
1980,1,19,6,3067.03
1981,1,19,6,3310.8
1982,1,19,6,80.7
1983,1,19,6,1191.72
1984,1,19,6,1676.54
1985,1,19,6,3800.57
1986,1,19,6,1580.35
1987,1,19,6,611.43
1988,1,19,6,858.89
1989,1,19,6,3503.92
1990,1,19,6,1423.21
1991,1,19,6,3815.67
1992,1,19,6,1369.98
1993,1,19,6,2464.34
1994,1,19,6,3006.88
1995,1,19,6,5200.02
1996,1,19,6,768.7
1997,1,19,6,3296.86
1998,1,19,6,2871.87
1999,1,19,6,1902.98
2000,1,19,6,1369.38
2001,1,19,6,61
2002,1,19,6,1881.65
2003,1,19,6,3740.23
2004,1,19,6,830.645
2005,1,19,6,647.2
2006,1,19,6,334.357
2007,1,19,6,447.67
2008,1,19,6,152.407
2009,1,19,6,52
2010,1,19,6,0
2011,1,19,6,12.7
2012,1,19,6,116.024
2013,1,19,6,421.227
2014,1,19,6,7.7
2015,1,19,6,0
2016,1,19,6,15
2017,1,19,6,84.932
2018,1,19,6,96.304
2019,1,19,6,109.56
2020,1,19,6,139.83
2021,1,19,6,271.58
2022,1,19,6,114.275
2023,1,19,6,335.474
2024,1,19,6,334.47
1972,1,20,6,0
1973,1,20,6,254.263
1974,1,20,6,67.258
1975,1,20,6,29.768
1976,1,20,6,963.214
1977,1,20,6,987.422
1978,1,20,6,676.585
1979,1,20,6,218.112
1980,1,20,6,895.901
1981,1,20,6,1417.56
1982,1,20,6,4869.42
1983,1,20,6,6915.79
1984,1,20,6,4952.78
1985,1,20,6,10136.1
1986,1,20,6,21179.3
1987,1,20,6,3599.67
1988,1,20,6,4932.75
1989,1,20,6,25073.8
1990,1,20,6,15216.5
1991,1,20,6,26710.5
1992,1,20,6,12134.7
1993,1,20,6,10268
1994,1,20,6,10511.4
1995,1,20,6,17826.1
1996,1,20,6,30011.7
1997,1,20,6,27518
1998,1,20,6,12306.9
1999,1,20,6,14304.9
2000,1,20,6,18343.3
2001,1,20,6,8471.2
2002,1,20,6,17810.3
2003,1,20,6,30584.9
2004,1,20,6,39919.9
2005,1,20,6,21758.1
2006,1,20,6,59757.4
2007,1,20,6,43089.5
2008,1,20,6,30763.5
2009,1,20,6,67567.5
2010,1,20,6,21428.6
2011,1,20,6,43239.6
2012,1,20,6,50281.8
2013,1,20,6,21483.9
2014,1,20,6,13801.5
2015,1,20,6,4942.52
2016,1,20,6,10347.4
2017,1,20,6,15956.5
2018,1,20,6,15690.1
